timestamp,sales,inventory_level,store_id
01:13:37,689,34,ST_004
01:13:38,995,25,ST_003
01:13:39,849,23,ST_001
01:13:40,587,15,ST_005
01:13:41,923,20,ST_003
01:13:42,610,12,ST_003
01:13:43,500,22,ST_004
01:13:44,737,14,ST_005
01:13:45,708,49,ST_004
01:13:46,231,33,ST_001
01:13:47,232,41,ST_001
01:13:48,109,10,ST_005
01:13:49,176,36,ST_004
01:13:50,798,36,ST_001
01:13:51,780,39,ST_005
01:13:52,440,43,ST_002
01:13:53,401,28,ST_004
01:13:54,772,27,ST_001
01:13:55,599,49,ST_001
01:13:56,458,45,ST_001
01:13:57,381,30,ST_002
01:13:58,874,38,ST_003
01:13:59,785,41,ST_005
01:14:00,195,29,ST_002
01:14:01,376,28,ST_003
01:14:02,612,34,ST_004
01:14:03,733,20,ST_004
01:14:04,184,32,ST_002
01:14:05,579,32,ST_004
01:14:06,788,40,ST_001
01:14:07,448,42,ST_005
01:14:08,875,10,ST_005
01:14:09,149,17,ST_003
01:14:10,129,37,ST_003
01:14:11,357,32,ST_002
01:14:12,114,11,ST_002
01:14:13,332,34,ST_002
01:14:14,862,37,ST_001
01:14:15,886,20,ST_001
01:14:16,745,12,ST_003
01:14:17,472,37,ST_004
01:14:18,916,17,ST_003
01:14:19,820,13,ST_004
01:14:20,422,45,ST_001
01:14:21,256,16,ST_002
01:14:22,532,19,ST_004
01:14:23,389,25,ST_003
01:14:24,525,11,ST_003
01:14:25,326,24,ST_003
01:14:26,121,36,ST_002
01:14:27,772,38,ST_003
01:14:28,865,36,ST_003
01:14:29,478,10,ST_001
01:14:30,155,10,ST_004
01:14:31,702,24,ST_004
01:14:32,539,10,ST_001
01:14:33,585,13,ST_003
01:14:34,120,33,ST_001
01:14:35,893,20,ST_002
01:14:36,471,47,ST_005
01:14:37,542,39,ST_004
01:14:38,964,38,ST_005
01:14:39,163,14,ST_003
01:14:40,700,47,ST_001
01:14:41,764,15,ST_004
01:14:42,331,10,ST_004
01:14:43,934,45,ST_004
01:14:44,998,46,ST_004
01:14:45,687,37,ST_001
01:14:46,110,12,ST_002
01:14:47,335,50,ST_004
01:14:48,967,15,ST_004
01:14:49,946,12,ST_004
01:14:50,575,28,ST_001
01:14:51,679,21,ST_005
01:14:52,964,44,ST_005
01:14:53,225,35,ST_003
01:14:54,237,29,ST_001
01:14:55,383,41,ST_005
01:14:56,747,35,ST_001
01:14:57,292,32,ST_002
01:14:58,629,22,ST_001
01:14:59,684,23,ST_002
01:15:00,690,44,ST_001
01:15:01,359,16,ST_004
01:15:02,112,23,ST_003
01:15:03,147,12,ST_005
01:15:04,492,39,ST_003
01:15:05,927,32,ST_003
01:15:06,541,32,ST_005
01:15:07,103,30,ST_003
01:15:08,791,20,ST_001
01:15:09,939,37,ST_004
01:15:10,649,31,ST_003
01:15:11,205,49,ST_005
01:15:12,684,18,ST_001
01:15:13,366,33,ST_001
01:15:14,446,16,ST_003
01:15:15,745,14,ST_004
01:15:16,689,17,ST_003
01:15:17,977,21,ST_004
01:15:18,779,50,ST_003
01:15:19,695,48,ST_002
01:15:20,867,43,ST_003
01:15:21,934,36,ST_001
01:15:22,419,15,ST_002
01:15:23,467,36,ST_001
01:15:24,139,20,ST_005
01:15:25,869,39,ST_004
01:15:26,240,50,ST_003
01:15:27,506,46,ST_005
01:15:28,120,40,ST_002
01:15:29,267,11,ST_004
01:15:30,858,26,ST_002
01:15:31,342,19,ST_001
01:15:32,989,49,ST_004
01:15:33,654,46,ST_004
01:15:34,141,19,ST_003
01:15:35,116,41,ST_005
01:15:36,952,29,ST_005
01:15:37,767,32,ST_005
01:15:38,901,16,ST_002
01:15:39,512,35,ST_001
01:15:40,629,16,ST_004
01:15:41,107,13,ST_001
01:15:42,686,49,ST_003
01:15:43,639,38,ST_001
01:15:44,981,44,ST_001
01:15:45,294,21,ST_002
01:15:46,871,46,ST_001
01:15:47,642,23,ST_002
01:15:48,274,28,ST_003
01:15:49,390,43,ST_005
01:15:50,638,19,ST_002
01:15:51,808,18,ST_003
01:15:52,700,31,ST_002
01:15:53,581,41,ST_001
01:15:54,822,40,ST_005
01:15:55,573,46,ST_003
01:15:56,645,19,ST_001
01:15:57,524,34,ST_005
01:15:58,319,11,ST_003
01:15:59,109,36,ST_002
01:16:00,484,49,ST_001
01:16:01,331,39,ST_002
01:16:02,505,42,ST_004
01:16:03,505,37,ST_003
01:16:04,964,25,ST_002
01:16:05,306,34,ST_004
01:16:06,976,13,ST_004
01:16:07,721,13,ST_001
01:16:08,525,11,ST_003
01:16:09,716,12,ST_001
01:16:10,631,44,ST_001
01:16:11,970,25,ST_001
01:16:12,130,14,ST_004
01:16:13,879,50,ST_001
01:16:14,975,21,ST_003
01:16:15,166,45,ST_002
01:16:16,224,14,ST_005
01:16:17,465,19,ST_003
01:16:18,572,49,ST_001
01:16:19,544,33,ST_005
01:16:20,125,27,ST_004
01:16:21,549,18,ST_005
01:16:22,158,36,ST_002
01:16:23,368,32,ST_002
01:16:24,124,24,ST_005
01:16:25,197,28,ST_003
01:16:26,929,35,ST_005
01:16:27,233,23,ST_001
01:16:28,770,11,ST_002
01:16:29,608,41,ST_005
01:16:30,316,37,ST_005
01:16:31,787,15,ST_005
01:16:32,217,10,ST_003
01:16:33,838,50,ST_004
01:16:34,747,32,ST_002
01:16:35,294,45,ST_005
01:16:36,259,48,ST_001
01:16:38,223,10,ST_004
01:16:39,329,11,ST_002
01:16:40,474,35,ST_002
01:16:41,501,40,ST_005
01:16:42,805,22,ST_003
01:16:43,157,31,ST_004
01:16:44,841,41,ST_004
01:16:45,105,16,ST_002
01:16:46,755,39,ST_001
01:16:47,924,21,ST_002
01:16:48,746,36,ST_001
01:16:49,294,19,ST_001
01:16:50,545,11,ST_004
01:16:51,944,30,ST_005
01:16:52,590,15,ST_002
01:16:53,196,42,ST_002
01:16:54,271,31,ST_004
01:16:55,598,49,ST_003
01:16:56,296,10,ST_005
01:16:57,279,21,ST_004
01:16:58,955,43,ST_001
01:16:59,645,12,ST_003
01:17:00,263,41,ST_003
01:17:01,969,10,ST_003
01:17:02,135,16,ST_003
01:17:03,784,45,ST_001
01:17:04,625,32,ST_003
01:17:05,658,22,ST_005
01:17:06,197,30,ST_002
01:17:07,329,36,ST_005
01:17:08,178,50,ST_005
01:17:09,152,24,ST_002
01:17:10,627,24,ST_003
01:17:11,590,48,ST_003
01:17:12,639,39,ST_003
01:17:13,787,35,ST_005
01:17:14,188,48,ST_003
01:17:15,878,16,ST_001
01:17:16,889,44,ST_002
01:17:17,336,33,ST_002
01:17:18,850,45,ST_004
01:17:19,555,34,ST_003
01:17:20,473,12,ST_004
01:17:21,237,49,ST_005
01:17:22,449,32,ST_004
01:17:23,180,15,ST_005
01:17:24,299,10,ST_002
01:17:25,989,39,ST_004
01:17:26,947,19,ST_004
01:17:27,616,38,ST_005
